Product_Name,Estate_Region,Roast_Level,Flavor_Notes,Format,Price_INR,Availability,Image_URL
Sampigehoney Estate,Karnataka,Medium,"Orange Marmalade, Dark Chocolate, Black Raisins",Ground/Whole Bean,700,In Stock,https://bluetokaicoffee.com/cdn/shop/files/1.-Sampigehoney-Estate-_Front_dc9733a5-f382-4f6e-a2fa-a04081f2457a.jpg
Salawara Estate,Karnataka,Light-Medium,"Red Apple, Pear, Almond",Ground/Whole Bean,850,In Stock,https://bluetokaicoffee.com/cdn/shop/files/1.-Salawara-Estate__Front_8b9bc3a2-4cc5-48d6-b256-ec2549e4558e.jpg
Riverdale Estate - Mosto,Karnataka,Light,"Pink Pomelo, Chamomile, Tart Cherries, Pomegranate",Ground/Whole Bean (Limited Release),1000,In Stock,https://bluetokaicoffee.com/cdn/shop/files/PS-Mosto-list.png
Baarbara Estate (Whiskey Barrel Aged),Chikmagalur Karnataka,Dark,"Ripe Banana, Red Plum, Whiskey Oak, Cocoa",Ground/Whole Bean (Special Process),1250,In Stock,https://bluetokaicoffee.com/cdn/shop/files/1_6.jpg
The Monsoon Trio,Multi-Estate Sampler,Mixed,"Monsoon Malabar, St. Joseph Estate, Sampigehoney Estate",Sampler Pack (3x),600,In Stock,https://bluetokaicoffee.com/cdn/shop/files/Card-01_a5dbef83-3fa2-4cf6-ba07-c0227a545720.jpg
The Rich & Bold Trio Pack,Multi-Estate Sampler,Mixed,"Vienna Roast, French Roast, Silver Oak",Sampler Pack (3x),700,In Stock,https://bluetokaicoffee.com/cdn/shop/files/Sampler_201224.jpg
Customised Sampler Pack,Multi-Estate Sampler,Mixed,"Attikan Estate, Silver Oak, Vienna Roast",Sampler Pack (3x),700,In Stock,https://bluetokaicoffee.com/cdn/shop/files/1SamplerPack__Front.jpg
5-in-1 Explorer Pack,Multi-Estate Sampler,Mixed,Assorted Blue Tokai Selection,Sampler Pack (5x),1170,In Stock,https://bluetokaicoffee.com/cdn/shop/files/Sampler_240625.jpg
Attikan Estate (Capsules),Biligiri Hills Karnataka,Medium-Dark,"Dark Chocolate, Figs, Roasted Almond",Aluminium Capsule (Nespresso-compatible),450,In Stock,https://bluetokaicoffee.com/cdn/shop/files/Attikan-estate-coffee-capsules-10.jpg
Dhak Blend (Capsules),Multi-Estate Blend,Medium-Dark,"Dark Chocolate, Cocoa, Fruit Jam",Aluminium Capsule (Nespresso-compatible),450,In Stock,https://bluetokaicoffee.com/cdn/shop/files/Dhak-blend-coffee-capsules-pack-10.jpg
Silver Oak Blend (Capsules),Multi-Estate Blend,Medium,"Hazelnut, Honey, Grapes",Aluminium Capsule (Nespresso-compatible),450,Sold Out,https://bluetokaicoffee.com/cdn/shop/files/Silver-Oak-blend-coffee-capsules-10.jpg
Vienna Roast (Capsules),Multi-Estate Blend,Dark,"Oaky, Bittersweet, Cocoa",Aluminium Capsule (Nespresso-compatible),450,In Stock,https://bluetokaicoffee.com/cdn/shop/files/Vienna-roast-coffee-capsules.jpg
Americano Drop,Multi-Estate Blend,Medium,Specialty Coffee Concentrate,Drop - Liquid Concentrate,250,In Stock,https://bluetokaicoffee.com/cdn/shop/files/Card-02_04b71f51-14f3-4f27-a02f-e511ac70866c.jpg
Signature Drop,Multi-Estate Blend,Medium-Dark,Specialty Coffee Concentrate,Drop - Liquid Concentrate,250,In Stock,https://bluetokaicoffee.com/cdn/shop/files/Card-02_df06ade7-ef96-4a00-9a0a-d400929be592.jpg
Sea Salt Mocha Drop,Multi-Estate Blend,Medium-Dark,"Sea Salt, Mocha, Chocolate",Drop - Liquid Concentrate,250,In Stock,https://bluetokaicoffee.com/cdn/shop/files/Card-02_95656125-9e2a-4a19-9b12-0c4a64f364a4.jpg
Mixed Bag Drop,Multi-Estate Blend,Mixed,Assorted Flavors,Drop - Liquid Concentrate (Multi-Pack),500,In Stock,https://bluetokaicoffee.com/cdn/shop/files/Card-02_76cdc358-04a6-4baf-88eb-54b06072a782.jpg
Chilli Cinnamon Mocha Drop,Multi-Estate Blend,Medium-Dark,"Chilli, Cinnamon, Mocha, Chocolate",Drop - Liquid Concentrate,250,In Stock,https://bluetokaicoffee.com/cdn/shop/files/Card-02_2224397e-fbc2-4030-82f7-982d9b3b9186.jpg
Jaggery Drop,Multi-Estate Blend,Medium,"Jaggery, Caramel, Sweet",Drop - Liquid Concentrate,225,In Stock,https://bluetokaicoffee.com/cdn/shop/files/Card-02_7fd66177-7a24-4060-ba83-2af100dfe4c4.jpg
The Sunrise Combo,Multi-Estate Blend,Mixed,"Signature, Jaggery",Drop - Liquid Concentrate (Combo),475,In Stock,https://bluetokaicoffee.com/cdn/shop/files/Signature_Jaggery_1.jpg
The Mocha Mix,Multi-Estate Blend,Mixed,"Chilli Cinnamon Mocha, Sea Salt Mocha",Drop - Liquid Concentrate (Combo),475,In Stock,https://bluetokaicoffee.com/cdn/shop/files/Chilli_Cinnamon_Mocha_Sea_Salt_Mocha.jpg
Attikan Estate Easy Pour,Biligiri Hills Karnataka,Medium-Dark,"Dark Chocolate, Figs, Roasted Almond",Easy Pour Drip Sachet,300,In Stock,https://bluetokaicoffee.com/cdn/shop/files/AttikanEstate__Front.jpg
Vienna Dark Roast Easy Pour,Multi-Estate Blend,Dark,"Oaky, Bittersweet, Cocoa",Easy Pour Drip Sachet,300,In Stock,https://bluetokaicoffee.com/cdn/shop/files/ViennaRoast__Front_1_a175faba-8e5f-40b8-aaa1-0efc3a525321.jpg
Mixed Light to Dark Roasts Easy Pour,Multi-Estate Blend,Mixed,Assorted Roast Levels,Easy Pour Drip Sachet (Pack of 5/10),300,In Stock,https://bluetokaicoffee.com/cdn/shop/files/MixedBag__Front_c9b610f1-ce4a-4b53-8b30-f6ca758eb6bb.jpg
Monsoon Malabar Easy Pour,Malabar Coast,Medium-Dark,"Cocoa Nibs, Nutty, Raisins",Easy Pour Drip Sachet,300,In Stock,https://bluetokaicoffee.com/cdn/shop/files/MonsoonMalabaar__Front_1.jpg
Seethargundu Estate Easy Pour,Karnataka,Light,Light Roast Estate Coffee,Easy Pour Drip Sachet,300,In Stock,https://bluetokaicoffee.com/cdn/shop/files/Seethargundu-Estate__Front_1.jpg
Jacaranda Blend Easy Pour,Multi-Estate Blend,Medium-Dark,Blend Roast,Easy Pour Drip Sachet,300,In Stock,https://bluetokaicoffee.com/cdn/shop/files/JacarandaBlend__Front_2.jpg
French Roast Easy Pour,Multi-Estate Blend,Very Dark,Very Dark Roast,Easy Pour Drip Sachet,300,In Stock,https://bluetokaicoffee.com/cdn/shop/files/FrenchRoast__Front_1.jpg
Portable Drip Bags,Multi-Estate Blend,Mixed,Portable Format,Drip Bag,350,Sold Out,
Cold Brew Bags - Kalledeverapura,Karnataka,Medium,"Rich and Smooth, Estate Cold Brew",Cold Brew Bag,600,In Stock,https://bluetokaicoffee.com/cdn/shop/files/Creative1_10.jpg
Cold Brew Bags - Bold,Multi-Estate Blend,Dark,"Bold and Intense, Nitrogen-Flushed",Cold Brew Bag,600,In Stock,https://bluetokaicoffee.com/cdn/shop/files/1Boldblend_front.jpg
Cold Brew Bags - Light Blend,Multi-Estate Blend,Light,"Fruity and Refreshing, Light Bodied",Cold Brew Bag,600,In Stock,https://bluetokaicoffee.com/cdn/shop/files/Creative1_9.jpg
Mocha Cold Coffee,Multi-Estate Blend,Medium-Dark,"Mocha, Chocolate",Cold Brew Can,350,In Stock,https://bluetokaicoffee.com/cdn/shop/files/2.-Mocha-Cold-_Double.jpg
Classic Cold Coffee,Multi-Estate Blend,Medium,Classic Cold Coffee,Cold Brew Can,350,In Stock,https://bluetokaicoffee.com/cdn/shop/files/2.-Classic-Cold-_Double.jpg
Classic Bold,Multi-Estate Blend,Dark,Bold Cold Coffee,Cold Brew Can,340,In Stock,https://bluetokaicoffee.com/cdn/shop/files/3_Classicbold_double_1.jpg
Classic Light,Multi-Estate Blend,Light,Light Cold Coffee,Cold Brew Can,340,In Stock,https://bluetokaicoffee.com/cdn/shop/files/3_Classiclight_double.jpg
Coffee Cascara,Multi-Estate Blend,Light,Coffee Cherry Cascara,Cold Brew Can,340,In Stock,https://bluetokaicoffee.com/cdn/shop/files/1_Classiccherry_front.jpg
Assorted 6-Pack,Multi-Estate Blend,Mixed,Assorted Flavors,Cold Brew Can (6-Pack),890,In Stock,https://bluetokaicoffee.com/cdn/shop/files/Assorted-Six-Pack.jpg
Elderflower Cold Brew,Multi-Estate Blend,Light,"Elderflower, Floral",Cold Brew Can,340,In Stock,https://bluetokaicoffee.com/cdn/shop/files/3_Classicelderflower_double.jpg
Orange Mint Cold Brew,Multi-Estate Blend,Medium,"Orange, Mint",Cold Brew Can,340,In Stock,https://bluetokaicoffee.com/cdn/shop/files/3_Classicorangemint_double.jpg
Iced Latte Cans,Multi-Estate Blend,Medium,"Iced Latte, Creamy",Cold Brew Can,340,In Stock,https://bluetokaicoffee.com/cdn/shop/files/1_Icedlatte_front.jpg
New Brewer's Pack,Multi-Estate Blend,Mixed,Starter Kit for Home Brewing,Value Pack (Coffee + Equipment Kit),1350,In Stock,https://bluetokaicoffee.com/cdn/shop/files/900x1200.jpg
Kerehaklu Estate (Peaberries),Karnataka,Medium,Peaberry Estate Coffee,Ground/Whole Bean,800,Sold Out,
Origin Unhurried Yercaud Pack,Yercaud Tamil Nadu,Medium,Estate Origin Pack,Value Pack,750,Sold Out,
Silver Oak Cafe Blend,Multi-Estate Blend,Medium,"Hazelnut, Honey, Grapes",Ground/Whole Bean,750,In Stock,https://bluetokaicoffee.com/cdn/shop/files/SilverOak-blend-Front.jpg
Amaltas Blend,Multi-Estate Blend,Medium,"Blueberry, Milk Chocolate, Fruity",Ground/Whole Bean,700,In Stock,https://bluetokaicoffee.com/cdn/shop/files/Amaltas-Blend-Front.jpg
Howdia Estate,Karnataka,Light,"Coffee Blossom, Orange Marmalade, Tea-like",Ground/Whole Bean (Limited Release),850,Sold Out,
Kerehaklu Estate (Light),Karnataka,Light,"Orange, Black Tea, Green Grapes",Ground/Whole Bean (Limited Release),850,Sold Out,
Raxidi Lobo Estate (Anaerobic Natural),Karnataka,Medium,"Mosambi, Green Apple, Plum",Ground/Whole Bean (Limited Release),900,Sold Out,
Winter Blend,Multi-Estate Blend,Medium-Dark,"Cinnamon, Cocoa, Roasted Almonds, Raisins",Ground/Whole Bean (Limited Release),750,Sold Out,
Amruthavarshini Estate,Karnataka,Medium,"Cherries, Pineapples, Roasted Almonds",Ground/Whole Bean (Limited Release),750,Sold Out,
13th Birthday Blend,Multi-Estate Blend,Medium,"Chocolate, Cherry, Strawberry, Peach",Ground/Whole Bean (Limited Release),800,Sold Out,
Warsanlyngdoh Coffee Collective,Meghalaya,Light,"Blueberry, Black Tea, Khasi Mandarin",Ground/Whole Bean (Limited Release),750,Sold Out,
SKIA Coffee (Pack of 2),Multi-Estate Blend,Medium,Anaerobic Yeast-Fermented,Ground/Whole Bean (Limited Release Pack),600,Sold Out,
Mooleh Manay Estate (CM Natural),Karnataka,Light,"Melon, Berries, Red Grapes, Dried Dates",Ground/Whole Bean (Limited Release),875,Sold Out,
